Job Zone,Occupation,Data-level,Code,cps_code
3,Wind Energy Operations Managers,Y,11-9199.09,0440
4,Wind Energy Development Managers,Y,11-9199.10,0440
4,Brownfield Redevelopment Specialists and Site Managers,Y,11-9199.11,0440
4,"Agents and Business Managers of Artists, Performers, and Athletes",Y,13-1011.00,0500
4,"Buyers and Purchasing Agents, Farm Products",Y,13-1021.00,0510
3,"Wholesale and Retail Buyers, Except Farm Products",Y,13-1022.00,0520
4,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Y,13-1023.00,0530
4,"Claims Adjusters, Examiners, and Investigators",Y,13-1031.00,0540
3,"Insurance Appraisers, Auto Damage",Y,13-1032.00,0540
4,Compliance Officers,Y,13-1041.00,0565
4,Environmental Compliance Inspectors,Y,13-1041.01,0565
4,Equal Opportunity Representatives and Officers,Y,13-1041.03,0565
3,Government Property Inspectors and Investigators,Y,13-1041.04,0565
3,Coroners,Y,13-1041.06,0565
4,Regulatory Affairs Specialists,Y,13-1041.07,0565
3,Customs Brokers,Y,13-1041.08,0565
4,Cost Estimators,Y,13-1051.00,0600
4,Human Resources Specialists,Y,13-1071.00,0630
2,Farm Labor Contractors,Y,13-1074.00,0630
4,Labor Relations Specialists,Y,13-1075.00,0630
4,Logisticians,Y,13-1081.00,0700
4,Logistics Engineers,Y,13-1081.01,0700
4,Logistics Analysts,Y,13-1081.02,0700
4,Project Management Specialists,Y,13-1082.00,0705
4,Management Analysts,Y,13-1111.00,0710
4,"Meeting, Convention, and Event Planners",Y,13-1121.00,0725
4,Fundraisers,Y,13-1131.00,0726
4,"Compensation, Benefits, and Job Analysis Specialists",Y,13-1141.00,0640
4,Training and Development Specialists,Y,13-1151.00,0650
4,Market Research Analysts and Marketing Specialists,Y,13-1161.00,0735
4,Search Marketing Strategists,Y,13-1161.01,0735
,"Business Operations Specialists, All Other",,13-1199.00,0750
4,Business Continuity Planners,Y,13-1199.04,0750
4,Sustainability Specialists,Y,13-1199.05,0750
4,Online Merchants,Y,13-1199.06,0750
4,Security Management Specialists,Y,13-1199.07,0750
4,Accountants and Auditors,Y,13-2011.00,0800
4,Appraisers of Personal and Business Property,Y,13-2022.00,0810
4,Appraisers and Assessors of Real Estate,Y,13-2023.00,0810
4,Budget Analysts,Y,13-2031.00,0820
4,Credit Analysts,Y,13-2041.00,0830
4,Financial and Investment Analysts,Y,13-2051.00,0845
4,Personal Financial Advisors,Y,13-2052.00,0850
4,Insurance Underwriters,Y,13-2053.00,0860
4,Financial Risk Specialists,Y,13-2054.00,0900
4,Financial Examiners,Y,13-2061.00,0900
4,Credit Counselors,Y,13-2071.00,0910
4,Loan Officers,Y,13-2072.00,0910
3,"Tax Examiners and Collectors, and Revenue Agents",Y,13-2081.00,0930
3,Tax Preparers,Y,13-2082.00,0940
,"Financial Specialists, All Other",,13-2099.00,0960
5,Financial Quantitative Analysts,Y,13-2099.01,0960
4,"Fraud Examiners, Investigators and Analysts",Y,13-2099.04,0960
3,Computer Systems Analysts,Y,15-1211.00,1006
5,Health Informatics Specialists,Y,15-1211.01,1006
4,Information Security Analysts,Y,15-1212.00,1007
5,Computer and Information Research Scientists,Y,15-1221.00,1005
4,Computer Network Support Specialists,Y,15-1231.00,1050
3,Computer User Support Specialists,Y,15-1232.00,1050
4,Computer Network Architects,Y,15-1241.00,1106
3,Telecommunications Engineering Specialists,Y,15-1241.01,1106
4,Database Administrators,Y,15-1242.00,1065
4,Database Architects,Y,15-1243.00,1065
4,Data Warehousing Specialists,Y,15-1243.01,1065
4,Network and Computer Systems Administrators,Y,15-1244.00,1105
4,Computer Programmers,Y,15-1251.00,1010
4,Software Developers,Y,15-1252.00,1021
4,Software Quality Assurance Analysts and Testers,Y,15-1253.00,1022
