Job Zone,Occupation,Data-level,Code,cps_code
3,Health Information Technologists and Medical Registrars,Y,29-9021.00,3550
5,Athletic Trainers,Y,29-9091.00,3550
5,Genetic Counselors,Y,29-9092.00,3550
3,Surgical Assistants,Y,29-9093.00,3550
,"Healthcare Practitioners and Technical Workers, All Other",,29-9099.00,3550
5,Midwives,Y,29-9099.01,3550
2,Home Health Aides,Y,31-1121.00,3601
2,Personal Care Aides,Y,31-1122.00,3602
3,Nursing Assistants,Y,31-1131.00,3603
2,Orderlies,Y,31-1132.00,3605
2,Psychiatric Aides,Y,31-1133.00,3605
3,Occupational Therapy Assistants,Y,31-2011.00,3610
3,Occupational Therapy Aides,Y,31-2012.00,3610
3,Physical Therapist Assistants,Y,31-2021.00,3620
2,Physical Therapist Aides,Y,31-2022.00,3620
3,Massage Therapists,Y,31-9011.00,3630
3,Dental Assistants,Y,31-9091.00,3640
3,Medical Assistants,Y,31-9092.00,3645
2,Medical Equipment Preparers,Y,31-9093.00,3655
3,Medical Transcriptionists,Y,31-9094.00,3646
2,Pharmacy Aides,Y,31-9095.00,3647
2,Veterinary Assistants and Laboratory Animal Caretakers,Y,31-9096.00,3648
3,Phlebotomists,Y,31-9097.00,3649
,"Healthcare Support Workers, All Other",,31-9099.00,3655
3,Speech-Language Pathology Assistants,Y,31-9099.01,3655
2,Endoscopy Technicians,Y,31-9099.02,3655
3,First-Line Supervisors of Correctional Officers,Y,33-1011.00,3700
2,First-Line Supervisors of Police and Detectives,Y,33-1012.00,3710
3,First-Line Supervisors of Firefighting and Prevention Workers,Y,33-1021.00,3720
2,First-Line Supervisors of Security Workers,Y,33-1091.00,3725
,"First-Line Supervisors of Protective Service Workers, All Other",,33-1099.00,3735
3,Firefighters,Y,33-2011.00,3740
3,Fire Inspectors and Investigators,Y,33-2021.00,3750
3,Forest Fire Inspectors and Prevention Specialists,Y,33-2022.00,3750
3,Bailiffs,Y,33-3011.00,3801
2,Correctional Officers and Jailers,Y,33-3012.00,3802
3,Detectives and Criminal Investigators,Y,33-3021.00,3820
3,Police Identification and Records Officers,Y,33-3021.02,3820
4,Intelligence Analysts,Y,33-3021.06,3820
4,Fish and Game Wardens,Y,33-3031.00,3830
2,Parking Enforcement Workers,Y,33-3041.00,3840
3,Police and Sheriff's Patrol Officers,Y,33-3051.00,3870
3,Customs and Border Protection Officers,Y,33-3051.04,3870
3,Transit and Railroad Police,Y,33-3052.00,3870
2,Animal Control Workers,Y,33-9011.00,3900
3,Private Detectives and Investigators,Y,33-9021.00,3910
2,Gambling Surveillance Officers and Gambling Investigators,Y,33-9031.00,3930
2,Security Guards,Y,33-9032.00,3930
2,Crossing Guards and Flaggers,Y,33-9091.00,3940
2,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Y,33-9092.00,3960
2,Transportation Security Screeners,Y,33-9093.00,3945
2,School Bus Monitors,Y,33-9094.00,3946
,"Protective Service Workers, All Other",,33-9099.00,3960
2,Retail Loss Prevention Specialists,Y,33-9099.02,3960
3,Chefs and Head Cooks,Y,35-1011.00,4000
2,First-Line Supervisors of Food Preparation and Serving Workers,Y,35-1012.00,4010
1,"Cooks, Fast Food",Y,35-2011.00,4020
2,"Cooks, Institution and Cafeteria",Y,35-2012.00,4020
3,"Cooks, Private Household",Y,35-2013.00,4020
2,"Cooks, Restaurant",Y,35-2014.00,4020
2,"Cooks, Short Order",Y,35-2015.00,4020
,"Cooks, All Other",,35-2019.00,4020
2,Food Preparation Workers,Y,35-2021.00,4030
2,Bartenders,Y,35-3011.00,4040
1,Fast Food and Counter Workers,Y,35-3023.00,4055
1,Baristas,Y,35-3023.01,4055
2,Waiters and Waitresses,Y,35-3031.00,4110
2,"Food Servers, Nonrestaurant",Y,35-3041.00,4120
1,Dining Room and Cafeteria Attendants and Bartender Helpers,Y,35-9011.00,4130
1,Dishwashers,Y,35-9021.00,4140
2,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",Y,35-9031.00,4150
,"Food Preparation and Serving Related Workers, All Other",,35-9099.00,4160
2,First-Line Supervisors of Housekeeping and Janitorial Workers,Y,37-1011.00,4200
3,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Y,37-1012.00,4210
3,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Y,37-2011.00,4220
1,Maids and Housekeeping Cleaners,Y,37-2012.00,4230
,"Building Cleaning Workers, All Other",,37-2019.00,4220
2,Pest Control Workers,Y,37-2021.00,4240
1,Landscaping and Groundskeeping Workers,Y,37-3011.00,4251
2,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",Y,37-3012.00,4255
2,Tree Trimmers and Pruners,Y,37-3013.00,4252
,"Grounds Maintenance Workers, All Other",,37-3019.00,4255
2,First-Line Supervisors of Gambling Services Workers,Y,39-1013.00,4330
2,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",Y,39-1014.00,4330
3,First-Line Supervisors of Personal Service Workers,Y,39-1022.00,4330
2,Animal Trainers,Y,39-2011.00,4340
2,Animal Caretakers,Y,39-2021.00,4350
2,Gambling Dealers,Y,39-3011.00,4400
2,Gambling and Sports Book Writers and Runners,Y,39-3012.00,4400
,"Gambling Service Workers, All Other",,39-3019.00,4400
2,Motion Picture Projectionists,Y,39-3021.00,4435
2,"Ushers, Lobby Attendants, and Ticket Takers",Y,39-3031.00,4420
1,Amusement and Recreation Attendants,Y,39-3091.00,4435
2,Costume Attendants,Y,39-3092.00,4435
2,"Locker Room, Coatroom, and Dressing Room Attendants",Y,39-3093.00,4435
,"Entertainment Attendants and Related Workers, All Other",,39-3099.00,4435
3,Embalmers,Y,39-4011.00,4461
2,Crematory Operators,Y,39-4012.00,4461
2,Funeral Attendants,Y,39-4021.00,4461
3,"Morticians, Undertakers, and Funeral Arrangers",Y,39-4031.00,4465
3,Barbers,Y,39-5011.00,4500
3,"Hairdressers, Hairstylists, and Cosmetologists",Y,39-5012.00,4510
3,"Makeup Artists, Theatrical and Performance",Y,39-5091.00,4525
2,Manicurists and Pedicurists,Y,39-5092.00,4521
2,Shampooers,Y,39-5093.00,4525
3,Skincare Specialists,Y,39-5094.00,4522
2,Baggage Porters and Bellhops,Y,39-6011.00,4530
3,Concierges,Y,39-6012.00,4530
3,Tour Guides and Escorts,Y,39-7011.00,4540
2,Travel Guides,Y,39-7012.00,4540
2,Childcare Workers,Y,39-9011.00,4600
2,Nannies,Y,39-9011.01,4600
3,Exercise Trainers and Group Fitness Instructors,Y,39-9031.00,4621
4,Recreation Workers,Y,39-9032.00,4622
3,Residential Advisors,Y,39-9041.00,4640
,"Personal Care and Service Workers, All Other",,39-9099.00,4655
2,First-Line Supervisors of Retail Sales Workers,Y,41-1011.00,4700
4,First-Line Supervisors of Non-Retail Sales Workers,Y,41-1012.00,4710
2,Cashiers,Y,41-2011.00,4720
2,Gambling Change Persons and Booth Cashiers,Y,41-2012.00,4720
2,Counter and Rental Clerks,Y,41-2021.00,4740
2,Parts Salespersons,Y,41-2022.00,4750
2,Retail Salespersons,Y,41-2031.00,4760
4,Advertising Sales Agents,Y,41-3011.00,4800
4,Insurance Sales Agents,Y,41-3021.00,4810
4,"Securities, Commodities, and Financial Services Sales Agents",Y,41-3031.00,4820
3,Travel Agents,Y,41-3041.00,4830
2,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Y,41-3091.00,4840
4,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Y,41-4011.00,4850
3,Solar Sales Representatives and Assessors,Y,41-4011.07,4850
4,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Y,41-4012.00,4850
2,Demonstrators and Product Promoters,Y,41-9011.00,4900
2,Models,Y,41-9012.00,4900
4,Real Estate Brokers,Y,41-9021.00,4920
3,Real Estate Sales Agents,Y,41-9022.00,4920
4,Sales Engineers,Y,41-9031.00,4930
2,Telemarketers,Y,41-9041.00,4940
1,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Y,41-9091.00,4950
,"Sales and Related Workers, All Other",,41-9099.00,4965
3,First-Line Supervisors of Office and Administrative Support Workers,Y,43-1011.00,5000
2,"Switchboard Operators, Including Answering Service",Y,43-2011.00,5010
2,Telephone Operators,Y,43-2021.00,5020
,"Communications Equipment Operators, All Other",,43-2099.00,5040
2,Bill and Account Collectors,Y,43-3011.00,5100
3,Billing and Posting Clerks,Y,43-3021.00,5110
3,"Bookkeeping, Accounting, and Auditing Clerks",Y,43-3031.00,5120
2,Gambling Cage Workers,Y,43-3041.00,5130
3,Payroll and Timekeeping Clerks,Y,43-3051.00,5140
2,Procurement Clerks,Y,43-3061.00,5150
2,Tellers,Y,43-3071.00,5160
,"Financial Clerks, All Other",,43-3099.00,5165
3,Brokerage Clerks,Y,43-4011.00,5200
2,Correspondence Clerks,Y,43-4021.00,5210
2,"Court, Municipal, and License Clerks",Y,43-4031.00,5220
2,"Credit Authorizers, Checkers, and Clerks",Y,43-4041.00,5230
2,Customer Service Representatives,Y,43-4051.00,5240
3,"Eligibility Interviewers, Government Programs",Y,43-4061.00,5250
2,File Clerks,Y,43-4071.00,5260
2,"Hotel, Motel, and Resort Desk Clerks",Y,43-4081.00,5300
3,"Interviewers, Except Eligibility and Loan",Y,43-4111.00,5310
2,"Library Assistants, Clerical",Y,43-4121.00,5320
3,Loan Interviewers and Clerks,Y,43-4131.00,5330
3,New Accounts Clerks,Y,43-4141.00,5340
2,Order Clerks,Y,43-4151.00,5350
3,"Human Resources Assistants, Except Payroll and Timekeeping",Y,43-4161.00,5360
2,Receptionists and Information Clerks,Y,43-4171.00,5400
2,Reservation and Transportation Ticket Agents and Travel Clerks,Y,43-4181.00,5410
,"Information and Record Clerks, All Other",,43-4199.00,5420
2,Cargo and Freight Agents,Y,43-5011.00,5500
2,Freight Forwarders,Y,43-5011.01,5500
2,Couriers and Messengers,Y,43-5021.00,5510
2,Public Safety Telecommunicators,Y,43-5031.00,5521
2,"Dispatchers, Except Police, Fire, and Ambulance",Y,43-5032.00,5522
2,"Meter Readers, Utilities",Y,43-5041.00,5530
2,Postal Service Clerks,Y,43-5051.00,5540
2,Postal Service Mail Carriers,Y,43-5052.00,5550
2,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Y,43-5053.00,5560
2,"Production, Planning, and Expediting Clerks",Y,43-5061.00,5600
2,"Shipping, Receiving, and Inventory Clerks",Y,43-5071.00,5610
2,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Y,43-5111.00,5630
3,Executive Secretaries and Executive Administrative Assistants,Y,43-6011.00,5710
3,Legal Secretaries and Administrative Assistants,Y,43-6012.00,5720
2,Medical Secretaries and Administrative Assistants,Y,43-6013.00,5730
2,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Y,43-6014.00,5740
2,Data Entry Keyers,Y,43-9021.00,5810
2,Word Processors and Typists,Y,43-9022.00,5820
3,Desktop Publishers,Y,43-9031.00,5830
2,Insurance Claims and Policy Processing Clerks,Y,43-9041.00,5840
2,"Mail Clerks and Mail Machine Operators, Except Postal Service",Y,43-9051.00,5850
2,"Office Clerks, General",Y,43-9061.00,5860
2,"Office Machine Operators, Except Computer",Y,43-9071.00,5900
4,Proofreaders and Copy Markers,Y,43-9081.00,5910
4,Statistical Assistants,Y,43-9111.00,5920
,"Office and Administrative Support Workers, All Other",,43-9199.00,5940
3,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",Y,45-1011.00,6005
2,Agricultural Inspectors,Y,45-2011.00,6010
2,Animal Breeders,Y,45-2021.00,6020
1,"Graders and Sorters, Agricultural Products",Y,45-2041.00,6040
1,Agricultural Equipment Operators,Y,45-2091.00,6050
1,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Y,45-2092.00,6050
2,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Y,45-2093.00,6050
,"Agricultural Workers, All Other",,45-2099.00,6050
1,Fishing and Hunting Workers,Y,45-3031.00,6115
2,Forest and Conservation Workers,Y,45-4011.00,6120
1,Fallers,Y,45-4021.00,6130
1,Logging Equipment Operators,Y,45-4022.00,6130
2,Log Graders and Scalers,Y,45-4023.00,6130
,"Logging Workers, All Other",,45-4029.00,6130
3,First-Line Supervisors of Construction Trades and Extraction Workers,Y,47-1011.00,6200
3,Solar Energy Installation Managers,Y,47-1011.03,6200
3,Boilermakers,Y,47-2011.00,6210
2,Brickmasons and Blockmasons,Y,47-2021.00,6220
3,Stonemasons,Y,47-2022.00,6220
2,Carpenters,Y,47-2031.00,6230
2,Carpet Installers,Y,47-2041.00,6240
2,"Floor Layers, Except Carpet, Wood, and Hard Tiles",Y,47-2042.00,6240
1,Floor Sanders and Finishers,Y,47-2043.00,6240
2,Tile and Stone Setters,Y,47-2044.00,6240
1,Cement Masons and Concrete Finishers,Y,47-2051.00,6250
2,Terrazzo Workers and Finishers,Y,47-2053.00,6250
2,Construction Laborers,Y,47-2061.00,6260
2,"Paving, Surfacing, and Tamping Equipment Operators",Y,47-2071.00,6305
2,Pile Driver Operators,Y,47-2072.00,6305
2,Operating Engineers and Other Construction Equipment Operators,Y,47-2073.00,6305
2,Drywall and Ceiling Tile Installers,Y,47-2081.00,6330
2,Tapers,Y,47-2082.00,6330
3,Electricians,Y,47-2111.00,6355
2,Glaziers,Y,47-2121.00,6360
2,"Insulation Workers, Floor, Ceiling, and Wall",Y,47-2131.00,6400
2,"Insulation Workers, Mechanical",Y,47-2132.00,6400
2,"Painters, Construction and Maintenance",Y,47-2141.00,6410
2,Paperhangers,Y,47-2142.00,6410
2,Pipelayers,Y,47-2151.00,6441
3,"Plumbers, Pipefitters, and Steamfitters",Y,47-2152.00,6442
3,Solar Thermal Installers and Technicians,Y,47-2152.04,6442
1,Plasterers and Stucco Masons,Y,47-2161.00,6460
2,Reinforcing Iron and Rebar Workers,Y,47-2171.00,6500
2,Roofers,Y,47-2181.00,6515
2,Sheet Metal Workers,Y,47-2211.00,6520
2,Structural Iron and Steel Workers,Y,47-2221.00,6530
2,Solar Photovoltaic Installers,Y,47-2231.00,6540
2,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Y,47-3011.00,6600
2,Helpers--Carpenters,Y,47-3012.00,6600
2,Helpers--Electricians,Y,47-3013.00,6600
1,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",Y,47-3014.00,6600
2,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Y,47-3015.00,6600
2,Helpers--Roofers,Y,47-3016.00,6600
,"Helpers, Construction Trades, All Other",,47-3019.00,6600
3,Construction and Building Inspectors,Y,47-4011.00,6660
3,Energy Auditors,Y,47-4011.01,6660
3,Elevator and Escalator Installers and Repairers,Y,47-4021.00,6700
2,Fence Erectors,Y,47-4031.00,6710
3,Hazardous Materials Removal Workers,Y,47-4041.00,6720
2,Highway Maintenance Workers,Y,47-4051.00,6730
2,Rail-Track Laying and Maintenance Equipment Operators,Y,47-4061.00,6740
1,Septic Tank Servicers and Sewer Pipe Cleaners,Y,47-4071.00,6750
2,Segmental Pavers,Y,47-4091.00,6765
,"Construction and Related Workers, All Other",,47-4099.00,6765
2,Weatherization Installers and Technicians,Y,47-4099.03,6765
1,"Derrick Operators, Oil and Gas",Y,47-5011.00,6800
2,"Rotary Drill Operators, Oil and Gas",Y,47-5012.00,6800
2,"Service Unit Operators, Oil and Gas",Y,47-5013.00,6800
2,"Excavating and Loading Machine and Dragline Operators, Surface Mining",Y,47-5022.00,6821
2,"Earth Drillers, Except Oil and Gas",Y,47-5023.00,6825
2,"Explosives Workers, Ordnance Handling Experts, and Blasters",Y,47-5032.00,6835
2,Continuous Mining Machine Operators,Y,47-5041.00,6850
2,"Roof Bolters, Mining",Y,47-5043.00,6850
2,"Loading and Moving Machine Operators, Underground Mining",Y,47-5044.00,6850
,"Underground Mining Machine Operators, All Other",,47-5049.00,6850
1,"Rock Splitters, Quarry",Y,47-5051.00,6950
1,"Roustabouts, Oil and Gas",Y,47-5071.00,6920
2,Helpers--Extraction Workers,Y,47-5081.00,6950
,"Extraction Workers, All Other",,47-5099.00,6950
3,"First-Line Supervisors of Mechanics, Installers, and Repairers",Y,49-1011.00,7000
3,"Computer, Automated Teller, and Office Machine Repairers",Y,49-2011.00,7010
3,"Radio, Cellular, and Tower Equipment Installers and Repairers",Y,49-2021.00,7020
3,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Y,49-2022.00,7020
3,Avionics Technicians,Y,49-2091.00,7030
3,"Electric Motor, Power Tool, and Related Repairers",Y,49-2092.00,7040
3,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Y,49-2093.00,7050
3,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Y,49-2094.00,7100
3,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Y,49-2095.00,7100
3,"Electronic Equipment Installers and Repairers, Motor Vehicles",Y,49-2096.00,7110
3,Audiovisual Equipment Installers and Repairers,Y,49-2097.00,7120
3,Security and Fire Alarm Systems Installers,Y,49-2098.00,7130
3,Aircraft Mechanics and Service Technicians,Y,49-3011.00,7140
2,Automotive Body and Related Repairers,Y,49-3021.00,7150
2,Automotive Glass Installers and Repairers,Y,49-3022.00,7160
3,Automotive Service Technicians and Mechanics,Y,49-3023.00,7200
3,Bus and Truck Mechanics and Diesel Engine Specialists,Y,49-3031.00,7210
3,Farm Equipment Mechanics and Service Technicians,Y,49-3041.00,7220
3,"Mobile Heavy Equipment Mechanics, Except Engines",Y,49-3042.00,7220
2,Rail Car Repairers,Y,49-3043.00,7220
3,Motorboat Mechanics and Service Technicians,Y,49-3051.00,7240
3,Motorcycle Mechanics,Y,49-3052.00,7240
2,Outdoor Power Equipment and Other Small Engine Mechanics,Y,49-3053.00,7240
2,Bicycle Repairers,Y,49-3091.00,7260
2,Recreational Vehicle Service Technicians,Y,49-3092.00,7260
2,Tire Repairers and Changers,Y,49-3093.00,7260
2,Mechanical Door Repairers,Y,49-9011.00,7300
3,"Control and Valve Installers and Repairers, Except Mechanical Door",Y,49-9012.00,7300
3,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Y,49-9021.00,7315
2,Home Appliance Repairers,Y,49-9031.00,7320
3,Industrial Machinery Mechanics,Y,49-9041.00,7330
3,"Maintenance Workers, Machinery",Y,49-9043.00,7350
2,Millwrights,Y,49-9044.00,7360
2,"Refractory Materials Repairers, Except Brickmasons",Y,49-9045.00,7330
2,Electrical Power-Line Installers and Repairers,Y,49-9051.00,7410
2,Telecommunications Line Installers and Repairers,Y,49-9052.00,7420
3,Camera and Photographic Equipment Repairers,Y,49-9061.00,7430
3,Medical Equipment Repairers,Y,49-9062.00,7430
3,Musical Instrument Repairers and Tuners,Y,49-9063.00,7430
3,Watch and Clock Repairers,Y,49-9064.00,7430
,"Precision Instrument and Equipment Repairers, All Other",,49-9069.00,7430
3,"Maintenance and Repair Workers, General",Y,49-9071.00,7340
3,Wind Turbine Service Technicians,Y,49-9081.00,7440
2,"Coin, Vending, and Amusement Machine Servicers and Repairers",Y,49-9091.00,7510
3,Commercial Divers,Y,49-9092.00,7520
2,Locksmiths and Safe Repairers,Y,49-9094.00,7540
2,Manufactured Building and Mobile Home Installers,Y,49-9095.00,7550
2,Riggers,Y,49-9096.00,7560
3,Signal and Track Switch Repairers,Y,49-9097.00,7640
2,"Helpers--Installation, Maintenance, and Repair Workers",Y,49-9098.00,7610
,"Installation, Maintenance, and Repair Workers, All Other",,49-9099.00,7640
2,Geothermal Technicians,Y,49-9099.01,7640
3,First-Line Supervisors of Production and Operating Workers,Y,51-1011.00,7700
2,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Y,51-2011.00,7710
2,"Coil Winders, Tapers, and Finishers",Y,51-2021.00,7720
2,Electrical and Electronic Equipment Assemblers,Y,51-2022.00,7720
2,Electromechanical Equipment Assemblers,Y,51-2023.00,7720
2,Engine and Other Machine Assemblers,Y,51-2031.00,7730
2,Structural Metal Fabricators and Fitters,Y,51-2041.00,7740
2,Fiberglass Laminators and Fabricators,Y,51-2051.00,7750
2,Timing Device Assemblers and Adjusters,Y,51-2061.00,7750
2,Team Assemblers,Y,51-2092.00,7750
,"Assemblers and Fabricators, All Other",,51-2099.00,7750
2,Bakers,Y,51-3011.00,7800
2,Butchers and Meat Cutters,Y,51-3021.00,7810
1,"Meat, Poultry, and Fish Cutters and Trimmers",Y,51-3022.00,7810
2,Slaughterers and Meat Packers,Y,51-3023.00,7810
2,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Y,51-3091.00,7830
2,Food Batchmakers,Y,51-3092.00,7840
2,Food Cooking Machine Operators and Tenders,Y,51-3093.00,7850
,"Food Processing Workers, All Other",,51-3099.00,7855
2,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4021.00,7925
2,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4022.00,7925
2,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4023.00,7925
2,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4031.00,7950
2,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,51-4032.00,8025
2,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,51-4033.00,8000
2,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,51-4034.00,8025
2,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4035.00,8025
3,Machinists,Y,51-4041.00,8030
2,Metal-Refining Furnace Operators and Tenders,Y,51-4051.00,8040
2,"Pourers and Casters, Metal",Y,51-4052.00,8040
3,"Model Makers, Metal and Plastic",Y,51-4061.00,8060
3,"Patternmakers, Metal and Plastic",Y,51-4062.00,8060
2,Foundry Mold and Coremakers,Y,51-4071.00,8100
2,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4072.00,8100
2,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Y,51-4081.00,8225
3,Tool and Die Makers,Y,51-4111.00,8130
2,"Welders, Cutters, Solderers, and Brazers",Y,51-4121.00,8140
2,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Y,51-4122.00,8140
2,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Y,51-4191.00,8225
2,"Layout Workers, Metal and Plastic",Y,51-4192.00,8225
2,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Y,51-4193.00,8225
2,"Tool Grinders, Filers, and Sharpeners",Y,51-4194.00,8225
,"Metal Workers and Plastic Workers, All Other",,51-4199.00,8225
3,Prepress Technicians and Workers,Y,51-5111.00,8250
2,Printing Press Operators,Y,51-5112.00,8255
2,Print Binding and Finishing Workers,Y,51-5113.00,8256
1,Laundry and Dry-Cleaning Workers,Y,51-6011.00,8300
1,"Pressers, Textile, Garment, and Related Materials",Y,51-6021.00,8310
1,Sewing Machine Operators,Y,51-6031.00,8320
2,Shoe and Leather Workers and Repairers,Y,51-6041.00,8335
2,Shoe Machine Operators and Tenders,Y,51-6042.00,8335
1,"Sewers, Hand",Y,51-6051.00,8350
2,"Tailors, Dressmakers, and Custom Sewers",Y,51-6052.00,8350
2,Textile Bleaching and Dyeing Machine Operators and Tenders,Y,51-6061.00,8365
2,"Textile Cutting Machine Setters, Operators, and Tenders",Y,51-6062.00,8365
2,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Y,51-6063.00,8365
2,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Y,51-6064.00,8365
2,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Y,51-6091.00,8465
3,Fabric and Apparel Patternmakers,Y,51-6092.00,8465
2,Upholsterers,Y,51-6093.00,8450
,"Textile, Apparel, and Furnishings Workers, All Other",,51-6099.00,8465
2,Cabinetmakers and Bench Carpenters,Y,51-7011.00,8500
2,Furniture Finishers,Y,51-7021.00,8510
3,"Model Makers, Wood",Y,51-7031.00,8555
3,"Patternmakers, Wood",Y,51-7032.00,8555
2,"Sawing Machine Setters, Operators, and Tenders, Wood",Y,51-7041.00,8530
2,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Y,51-7042.00,8540
,"Woodworkers, All Other",,51-7099.00,8555
3,Nuclear Power Reactor Operators,Y,51-8011.00,8600
3,Power Distributors and Dispatchers,Y,51-8012.00,8600
2,Power Plant Operators,Y,51-8013.00,8600
2,Biomass Plant Technicians,Y,51-8013.03,8600
3,Hydroelectric Plant Technicians,Y,51-8013.04,8600
3,Stationary Engineers and Boiler Operators,Y,51-8021.00,8610
3,Water and Wastewater Treatment Plant and System Operators,Y,51-8031.00,8620
2,Chemical Plant and System Operators,Y,51-8091.00,8630
2,Gas Plant Operators,Y,51-8092.00,8630
2,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Y,51-8093.00,8630
,"Plant and System Operators, All Other",,51-8099.00,
2,Biofuels Processing Technicians,Y,51-8099.01,
2,Chemical Equipment Operators and Tenders,Y,51-9011.00,8640
2,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Y,51-9012.00,8640
2,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Y,51-9021.00,8650
2,"Grinding and Polishing Workers, Hand",Y,51-9022.00,8650
2,"Mixing and Blending Machine Setters, Operators, and Tenders",Y,51-9023.00,8650
1,"Cutters and Trimmers, Hand",Y,51-9031.00,8710
2,"Cutting and Slicing Machine Setters, Operators, and Tenders",Y,51-9032.00,8710
2,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Y,51-9041.00,8720
2,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Y,51-9051.00,8730
2,"Inspectors, Testers, Sorters, Samplers, and Weighers",Y,51-9061.00,8740
3,Jewelers and Precious Stone and Metal Workers,Y,51-9071.00,8750
3,Gem and Diamond Workers,Y,51-9071.06,8750
2,Dental Laboratory Technicians,Y,51-9081.00,8760
3,Medical Appliance Technicians,Y,51-9082.00,8760
2,Ophthalmic Laboratory Technicians,Y,51-9083.00,8760
2,Packaging and Filling Machine Operators and Tenders,Y,51-9111.00,8800
1,"Painting, Coating, and Decorating Workers",Y,51-9123.00,8810
2,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Y,51-9124.00,8810
2,Semiconductor Processing Technicians,Y,51-9141.00,8990
2,Photographic Process Workers and Processing Machine Operators,Y,51-9151.00,8830
2,Computer Numerically Controlled Tool Operators,Y,51-9161.00,7905
3,Computer Numerically Controlled Tool Programmers,Y,51-9162.00,7905
2,Adhesive Bonding Machine Operators and Tenders,Y,51-9191.00,8850
2,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Y,51-9192.00,8865
2,Cooling and Freezing Equipment Operators and Tenders,Y,51-9193.00,8865
2,Etchers and Engravers,Y,51-9194.00,8910
2,"Molders, Shapers, and Casters, Except Metal and Plastic",Y,51-9195.00,8920
2,"Stone Cutters and Carvers, Manufacturing",Y,51-9195.03,8920
2,"Glass Blowers, Molders, Benders, and Finishers",Y,51-9195.04,8920
3,"Potters, Manufacturing",Y,51-9195.05,8920
2,"Paper Goods Machine Setters, Operators, and Tenders",Y,51-9196.00,8930
2,Tire Builders,Y,51-9197.00,8940
2,Helpers--Production Workers,Y,51-9198.00,8950
,"Production Workers, All Other",,51-9199.00,8865
2,Aircraft Cargo Handling Supervisors,Y,53-1041.00,9005
2,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Y,53-1042.00,9005
2,Recycling Coordinators,Y,53-1042.01,9005
